label,string,result,time,size
periodo smart, fill worst case,6574,0.000305959,6574
periodo naive, fill random,7000,0.00108162,7000
periodo smart, fill random,7000,0.000309041,7000
periodo naive, fill with period,1421,0.00031625,7000
periodo smart, fill with period,1421,0.000232,7000
periodo naive, fill worst case,7000,0.386826,7000
periodo smart, fill worst case,7000,0.000328792,7000
periodo naive, fill random,7453,0.00119121,7454
periodo smart, fill random,7453,0.000317333,7454
periodo naive, fill with period,3471,0.000617834,7454
periodo smart, fill with period,3471,0.000266542,7454
periodo naive, fill worst case,7454,0.437927,7454
periodo smart, fill worst case,7454,0.000367125,7454
periodo naive, fill random,7937,0.00135654,7937
periodo smart, fill random,7937,0.000353209,7937
periodo naive, fill with period,3626,0.000704334,7937
periodo smart, fill with period,3626,0.000288417,7937
periodo naive, fill worst case,7937,0.505989,7937
periodo smart, fill worst case,7937,0.000369625,7937
periodo naive, fill random,8450,0.00145188,8451
periodo smart, fill random,8450,0.000392334,8451
periodo naive, fill with period,8113,0.00153604,8451
periodo smart, fill with period,8113,0.000352292,8451
periodo naive, fill worst case,8451,0.564719,8451
periodo smart, fill worst case,8451,0.000397625,8451
periodo naive, fill random,8998,0.00159392,8998
periodo smart, fill random,8998,0.000377625,8998
periodo naive, fill with period,7889,0.00163208,8998
periodo smart, fill with period,7889,0.000419542,8998
periodo naive, fill worst case,8998,0.64108,8998
periodo smart, fill worst case,8998,0.00043475,8998
periodo naive, fill random,9581,0.00176058,9581
periodo smart, fill random,9581,0.000394,9581
periodo naive, fill with period,4792,0.00101088,9581
periodo smart, fill with period,4792,0.000354208,9581
periodo naive, fill worst case,9581,0.718687,9581
periodo smart, fill worst case,9581,0.00047025,9581
periodo naive, fill random,10202,0.00198587,10202
periodo smart, fill random,10202,0.000455166,10202
periodo naive, fill with period,9008,0.00177208,10202
periodo smart, fill with period,9008,0.000442667,10202
periodo naive, fill worst case,10202,0.809559,10202
periodo smart, fill worst case,10202,0.000475,10202
periodo naive, fill random,10863,0.00218062,10863
periodo smart, fill random,10863,0.0004455,10863
periodo naive, fill with period,5597,0.00130829,10863
periodo smart, fill with period,5597,0.000399583,10863
periodo naive, fill worst case,10863,0.929006,10863
periodo smart, fill worst case,10863,0.000524458,10863
periodo naive, fill random,11567,0.00250746,11567
periodo smart, fill random,11567,0.000476958,11567
periodo naive, fill with period,8607,0.00188858,11567
periodo smart, fill with period,8607,0.000459542,11567
periodo naive, fill worst case,11567,1.05128,11567
periodo smart, fill worst case,11567,0.000542,11567
periodo naive, fill random,12316,0.00266021,12316
periodo smart, fill random,12316,0.000536583,12316
periodo naive, fill with period,9577,0.00219483,12316
periodo smart, fill with period,9577,0.000485958,12316
periodo naive, fill worst case,12316,1.19581,12316
periodo smart, fill worst case,12316,0.000582625,12316
periodo naive, fill random,13114,0.00361288,13114
periodo smart, fill random,13114,0.000608875,13114
periodo naive, fill with period,1872,0.000586917,13114
periodo smart, fill with period,1872,0.0004275,13114
periodo naive, fill worst case,13114,1.39436,13114
periodo smart, fill worst case,13114,0.000634625,13114
periodo naive, fill random,13963,0.00371133,13964
periodo smart, fill random,13963,0.000608792,13964
periodo naive, fill with period,2302,0.000762917,13964
periodo smart, fill with period,2302,0.000473459,13964
periodo naive, fill worst case,13964,1.5293,13964
periodo smart, fill worst case,13964,0.000699375,13964
periodo naive, fill random,14868,0.00562042,14868
periodo smart, fill random,14868,0.000635084,14868
periodo naive, fill with period,7106,0.00204879,14868
periodo smart, fill with period,7106,0.000543334,14868
periodo naive, fill worst case,14868,1.71826,14868
periodo smart, fill worst case,14868,0.000696125,14868
periodo naive, fill random,15832,0.00409408,15832
periodo smart, fill random,15832,0.000664916,15832
periodo naive, fill with period,5106,0.00154863,15832
periodo smart, fill with period,5106,0.000551125,15832
periodo naive, fill worst case,15832,1.94886,15832
periodo smart, fill worst case,15832,0.000742875,15832
periodo naive, fill random,16857,0.00579875,16857
periodo smart, fill random,16857,0.000748167,16857
periodo naive, fill with period,15585,0.00442079,16857
periodo smart, fill with period,15585,0.000680583,16857
periodo naive, fill worst case,16857,2.21415,16857
periodo smart, fill worst case,16857,0.000806708,16857
periodo naive, fill random,17950,0.00695692,17950
periodo smart, fill random,17950,0.000735416,17950
periodo naive, fill with period,16478,0.00598433,17950
periodo smart, fill with period,16478,0.000728833,17950
periodo naive, fill worst case,17950,2.50846,17950
periodo smart, fill worst case,17950,0.000875458,17950
periodo naive, fill random,19112,0.0106545,19113
periodo smart, fill random,19112,0.00080375,19113
periodo naive, fill with period,1079,0.00061325,19113
periodo smart, fill with period,1079,0.000604375,19113
periodo naive, fill worst case,19113,2.90322,19113
periodo smart, fill worst case,19113,0.000920709,19113
periodo naive, fill random,20351,0.0139492,20351
periodo smart, fill random,20351,0.0008845,20351
periodo naive, fill with period,17444,0.00815754,20351
periodo smart, fill with period,17444,0.000813917,20351
periodo naive, fill worst case,20351,3.26592,20351
periodo smart, fill worst case,20351,0.000956541,20351
periodo naive, fill random,21669,0.00889062,21669
periodo smart, fill random,21669,0.000948458,21669
periodo naive, fill with period,18022,0.00708108,21669
periodo smart, fill with period,18022,0.000909,21669
periodo naive, fill worst case,21669,3.68687,21669
periodo smart, fill worst case,21669,0.00103937,21669
periodo naive, fill random,23073,0.00900642,23073
periodo smart, fill random,23073,0.000999084,23073
periodo naive, fill with period,9708,0.0044255,23073
periodo smart, fill with period,9708,0.000909167,23073
periodo naive, fill worst case,23073,4.20094,23073
periodo smart, fill worst case,23073,0.00115675,23073
periodo naive, fill random,24568,0.010707,24568
periodo smart, fill random,24568,0.00105417,24568
periodo naive, fill with period,6516,0.00351604,24568
periodo smart, fill with period,6516,0.000900666,24568
periodo naive, fill worst case,24568,4.80344,24568
periodo smart, fill worst case,24568,0.00115267,24568
periodo naive, fill random,26158,0.0197105,26160
periodo smart, fill random,26158,0.00116425,26160
periodo naive, fill with period,20902,0.0122155,26160
periodo smart, fill with period,20902,0.00105092,26160
periodo naive, fill worst case,26160,5.36591,26160
periodo smart, fill worst case,26160,0.00128213,26160
periodo naive, fill random,27854,0.015,27854
periodo smart, fill random,27854,0.00125246,27854
periodo naive, fill with period,1401,0.00116613,27854
periodo smart, fill with period,1401,0.00089625,27854
periodo naive, fill worst case,27854,6.1107,27854
periodo smart, fill worst case,27854,0.0013295,27854
periodo naive, fill random,29658,0.0276483,29659
periodo smart, fill random,29658,0.00129821,29659
periodo naive, fill with period,7591,0.00341042,29659
periodo smart, fill with period,7591,0.00100996,29659
periodo naive, fill worst case,29659,6.85295,29659
periodo smart, fill worst case,29659,0.0013935,29659
periodo naive, fill random,31581,0.0324488,31581
periodo smart, fill random,31581,0.001365,31581
periodo naive, fill with period,16711,0.0108774,31581
periodo smart, fill with period,16711,0.00117879,31581
periodo naive, fill worst case,31581,7.79649,31581
periodo smart, fill worst case,31581,0.00153854,31581
periodo naive, fill random,33625,0.0206647,33627
periodo smart, fill random,33625,0.00153167,33627
periodo naive, fill with period,26267,0.014042,33627
periodo smart, fill with period,26267,0.00136325,33627
periodo naive, fill worst case,33627,8.88704,33627
periodo smart, fill worst case,33627,0.0015775,33627
periodo naive, fill random,35803,0.0186147,35805
periodo smart, fill random,35803,0.00152946,35805
periodo naive, fill with period,23940,0.0121003,35805
periodo smart, fill with period,23940,0.00134804,35805
periodo naive, fill worst case,35805,10.0515,35805
periodo smart, fill worst case,35805,0.00171133,35805
periodo naive, fill random,38125,0.0362652,38125
periodo smart, fill random,38125,0.00162308,38125
periodo naive, fill with period,11668,0.00620646,38125
periodo smart, fill with period,11668,0.00131342,38125
periodo naive, fill worst case,38125,11.3905,38125
periodo smart, fill worst case,38125,0.00186883,38125
periodo naive, fill random,40595,0.0293906,40595
periodo smart, fill random,40595,0.00182833,40595
periodo naive, fill with period,12408,0.00999458,40595
periodo smart, fill with period,12408,0.00149846,40595
periodo naive, fill worst case,40595,12.9063,40595
periodo smart, fill worst case,40595,0.00189271,40595
periodo naive, fill random,43224,0.0260826,43225
periodo smart, fill random,43224,0.00183654,43225
periodo naive, fill with period,17578,0.0102798,43225
periodo smart, fill with period,17578,0.00151883,43225
periodo naive, fill worst case,43225,14.6618,43225
periodo smart, fill worst case,43225,0.00204508,43225
periodo naive, fill random,46025,0.0295575,46025
periodo smart, fill random,46025,0.00190642,46025
periodo naive, fill with period,36566,0.0229563,46025
periodo smart, fill with period,36566,0.00186004,46025
periodo naive, fill worst case,46025,16.7029,46025
periodo smart, fill worst case,46025,0.00216671,46025
periodo naive, fill random,49006,0.0323922,49007
periodo smart, fill random,49006,0.00210333,49007
periodo naive, fill with period,7060,0.0048895,49007
periodo smart, fill with period,7060,0.00160204,49007
periodo naive, fill worst case,49007,18.9136,49007
periodo smart, fill worst case,49007,0.00238146,49007
periodo naive, fill random,52182,0.0459817,52182
periodo smart, fill random,52182,0.00229442,52182
periodo naive, fill with period,46185,0.035369,52182
periodo smart, fill with period,46185,0.002175,52182
periodo naive, fill worst case,52182,21.2252,52182
periodo smart, fill worst case,52182,0.00243146,52182
periodo naive, fill random,55563,0.041144,55563
