label,string,result,time,size
periodo naive, fill random,26738,0.466555,26738
periodo smart, fill random,26738,0.0001291,26738
periodo naive, fill with period,13,0.00027105,26738
periodo smart, fill with period,13,0.00011985,26738
periodo naive, fill random,27805,0.486631,27805
periodo smart, fill random,27805,0.0001648,27805
periodo naive, fill with period,23,0.00042605,27805
periodo smart, fill with period,23,0.00012235,27805
periodo naive, fill random,28914,0.492539,28914
periodo smart, fill random,28914,0.00013815,28914
periodo naive, fill with period,10,0.0002193,28914
periodo smart, fill with period,10,0.0001295,28914
periodo naive, fill random,30067,0.468982,30067
periodo smart, fill random,30067,0.0001976,30067
periodo naive, fill with period,15,0.00056085,30067
periodo smart, fill with period,15,0.0001613,30067
periodo naive, fill random,31267,1.05221,31267
periodo smart, fill random,31267,0.0001744,31267
periodo naive, fill with period,11,0.0004611,31267
periodo smart, fill with period,11,0.0001642,31267
periodo naive, fill random,32514,1.01777,32514
periodo smart, fill random,32514,0.0001777,32514
periodo naive, fill with period,5,0.00023945,32514
periodo smart, fill with period,5,0.00017475,32514
periodo naive, fill random,33812,1.01442,33812
periodo smart, fill random,33812,0.00018105,33812
periodo naive, fill with period,25,0.0008311,33812
periodo smart, fill with period,25,0.00017005,33812
periodo naive, fill random,35161,1.03781,35161
periodo smart, fill random,35161,0.00018795,35161
periodo naive, fill with period,9,0.00035235,35161
periodo smart, fill with period,9,0.0001733,35161
periodo naive, fill random,36563,1.05593,36563
periodo smart, fill random,36563,0.0001884,36563
periodo naive, fill with period,6,0.0002619,36563
periodo smart, fill with period,6,0.00017905,36563
periodo naive, fill random,38022,1.0716,38022
periodo smart, fill random,38022,0.00022785,38022
periodo naive, fill with period,6,0.00026435,38022
periodo smart, fill with period,6,0.00017995,38022
periodo naive, fill random,39539,1.0969,39539
periodo smart, fill random,39539,0.0001963,39539
periodo naive, fill with period,3,0.0001767,39539
periodo smart, fill with period,3,0.0001836,39539
periodo naive, fill random,41117,0.855649,41117
periodo smart, fill random,41117,0.00018925,41117
periodo naive, fill with period,23,0.00056795,41117
periodo smart, fill with period,23,0.00018255,41117
periodo naive, fill random,42757,0.853299,42757
periodo smart, fill random,42757,0.0002784,42757
periodo naive, fill with period,20,0.00100985,42757
periodo smart, fill with period,20,0.00022955,42757
periodo naive, fill random,44463,1.92743,44463
periodo smart, fill random,44463,0.0002443,44463
periodo naive, fill with period,9,0.00050145,44463
periodo smart, fill with period,9,0.0002347,44463
periodo naive, fill random,46237,1.94219,46237
periodo smart, fill random,46237,0.0002651,46237
periodo naive, fill with period,21,0.0009902,46237
periodo smart, fill with period,21,0.00023395,46237
periodo naive, fill random,48081,1.96133,48081
periodo smart, fill random,48081,0.0002536,48081
periodo naive, fill with period,9,0.0004872,48081
periodo smart, fill with period,9,0.0002379,48081
periodo naive, fill random,1000,0.0051399,1000
periodo smart, fill random,1000,2.182e-05,1000
periodo naive, fill with period,17,9.155e-05,1000
periodo smart, fill with period,17,2.128e-05,1000
periodo naive, fill random,1039,0.00525695,1039
periodo smart, fill random,1039,2.204e-05,1039
periodo naive, fill with period,1,1.96167e-05,1039
periodo smart, fill with period,1,2.136e-05,1039
periodo naive, fill random,1081,0.00532725,1081
periodo smart, fill random,1081,2.216e-05,1081
periodo naive, fill with period,2,2.51e-05,1081
periodo smart, fill with period,2,2.154e-05,1081
periodo naive, fill random,1124,0.0056688,1124
periodo smart, fill random,1124,2.232e-05,1124
periodo naive, fill with period,1,1.96667e-05,1124
periodo smart, fill with period,1,2.166e-05,1124
periodo naive, fill random,1169,0.00605475,1169
periodo smart, fill random,1169,2.244e-05,1169
periodo naive, fill with period,17,9.48e-05,1169
periodo smart, fill with period,17,2.184e-05,1169
periodo naive, fill random,1216,0.0059652,1216
periodo smart, fill random,1216,2.596e-05,1216
periodo naive, fill with period,24,0.00012615,1216
periodo smart, fill with period,24,2.198e-05,1216
periodo naive, fill random,1264,0.0061631,1264
periodo smart, fill random,1264,2.28e-05,1264
periodo naive, fill with period,21,0.00010815,1264
periodo smart, fill with period,21,2.212e-05,1264
periodo naive, fill random,1315,0.0063337,1315
periodo smart, fill random,1315,2.312e-05,1315
periodo naive, fill with period,21,0.0001075,1315
periodo smart, fill with period,21,2.232e-05,1315
periodo naive, fill random,1367,0.0065134,1367
periodo smart, fill random,1367,2.314e-05,1367
periodo naive, fill with period,13,6.9e-05,1367
periodo smart, fill with period,13,2.246e-05,1367
periodo naive, fill random,1422,0.00683815,1422
periodo smart, fill random,1422,2.344e-05,1422
periodo naive, fill with period,10,5.45e-05,1422
periodo smart, fill with period,10,2.264e-05,1422
periodo naive, fill random,1478,0.0087212,1478
periodo smart, fill random,1478,3.415e-05,1478
periodo naive, fill with period,9,8.03e-05,1478
periodo smart, fill with period,9,3.3925e-05,1478
periodo naive, fill random,1537,0.0072864,1537
periodo smart, fill random,1537,2.5725e-05,1537
periodo naive, fill with period,24,0.0001188,1537
periodo smart, fill with period,24,2.3e-05,1537
periodo naive, fill random,1599,0.00746215,1599
periodo smart, fill random,1599,2.41e-05,1599
periodo naive, fill with period,11,5.825e-05,1599
periodo smart, fill with period,11,2.324e-05,1599
periodo naive, fill random,1662,0.0077561,1662
periodo smart, fill random,1662,2.8625e-05,1662
periodo naive, fill with period,6,5.31e-05,1662
periodo smart, fill with period,6,2.346e-05,1662
periodo naive, fill random,1729,0.0091692,1729
periodo smart, fill random,1729,3.6475e-05,1729
periodo naive, fill with period,9,7.585e-05,1729
periodo smart, fill with period,9,3.4725e-05,1729
periodo naive, fill random,1798,0.00938325,1798
periodo smart, fill random,1798,2.97e-05,1798
periodo naive, fill with period,8,6.10667e-05,1798
periodo smart, fill with period,8,2.9525e-05,1798
periodo naive, fill random,1869,0.00860375,1869
periodo smart, fill random,1869,2.53e-05,1869
periodo naive, fill with period,20,9.74e-05,1869
periodo smart, fill with period,20,2.49e-05,1869
periodo naive, fill random,1944,0.0087467,1944
